Time,NetIncome
11/30/19,423
8/31/19,1780
5/31/19,451
2/28/19,336
11/30/18,493
8/31/18,1707
5/31/18,561
2/28/18,391
11/30/17,546
8/31/17,1329
5/31/17,379
2/28/17,352
11/30/16,608
8/31/16,1424
5/31/16,605
2/29/16,142
11/30/15,270
8/31/15,1216
5/31/15,222
2/28/15,49
11/30/14,-103
8/31/14,1241
5/31/14,98
2/28/14,-20
11/30/13,43
8/31/13,934
5/31/13,41
2/28/13,37
11/30/12,93
8/31/12,1330
5/31/12,14
2/29/12,-139
11/30/11,217
8/31/11,1337
5/31/11,206
2/28/11,152
11/30/10,248
8/31/10,1303
5/31/10,252
2/28/10,175
11/30/09,193
8/31/09,1073
5/31/09,264
2/28/09,260
11/30/08,365
8/31/08,1333
5/31/08,390
2/29/08,236
11/30/07,358
8/31/07,1377
5/31/07,390
2/28/07,283
11/30/06,416
8/31/06,1232
5/31/06,380
2/28/06,251
11/30/05,339
8/31/05,1181
5/31/05,388
2/28/05,345